"old_path","class","clicks","impressions","action","target","note"
"/wp-content/uploads/2024/09/Камина-от-кашони-как-да-си-направим-Хамали-Ненчовски-снимка-04.webp","asset","0","5","keep-asset","","wp-content файл; пренеси в /public или CDN"
"/wp-content/uploads/2024/10/какво-се-носи-в-нова-къща-Хамали-Ненчовски-корица.webp","asset","0","3","keep-asset","","wp-content файл; пренеси в /public или CDN"
"/wp-content/uploads/2020/02/кашони-и-опаковъчна-хартия-точка-1-400x400.jpg","asset","0","1","keep-asset","","wp-content файл; пренеси в /public или CDN"
"/wp-content/uploads/elementor/thumbs/кърти-чисти-извозва-софия-ненчовски-снимка-02-p21p06kybivrab904930rm1y9kyam8b2k0xlbsoey4.jpg","asset","0","1","keep-asset","","wp-content файл; пренеси в /public или CDN"
"/wp-content/uploads/2023/12/100_5319.webp","asset","0","1","keep-asset","","wp-content файл; пренеси в /public или CDN"
"/wp-content/uploads/2023/09/кашони-за-преместване-софия-ненчовски-хамали-корица-01.jpg","asset","0","1","keep-asset","","wp-content файл; пренеси в /public или CDN"
"/wp-content/uploads/2023/12/Хамали-София-Ненчовски-Транспорт-корица.webp","asset","0","1","keep-asset","","wp-content файл; пренеси в /public или CDN"
"/wp-content/uploads/2025/02/Как-се-прави-камина-от-тухли-стъпка-по-стъпка-Хамали-Ненчовски-снимка-11.webp","asset","0","1","keep-asset","","wp-content файл; пренеси в /public или CDN"
"/преместване-на-дома/kakvo-se-nosi-v-nova-kashta/","legit","9710","63824","200-keep","/преместване-на-дома/kakvo-se-nosi-v-nova-kashta/","канонична статия — запази точния URL в Next.js"
"/premestvane-na-bagaj/","legit","1056","31548","200-keep","/premestvane-na-bagaj/","страница услуга — запази точния URL в Next.js"
"/блог/smyana-na-vrati-bez-kurtene/","legit","911","6138","200-keep","/блог/smyana-na-vrati-bez-kurtene/","канонична статия — запази точния URL в Next.js"
"/","legit","742","68721","200-keep","/","страница услуга — запази точния URL в Next.js"
"/преместване-на-дома/kak-se-pravi-kamina-ot-tuhli/","legit","571","8272","200-keep","/преместване-на-дома/kak-se-pravi-kamina-ot-tuhli/","канонична статия — запази точния URL в Next.js"
"/transport-ot-gartsiya-do-balgariya/","legit","540","8672","200-keep","/transport-ot-gartsiya-do-balgariya/","страница услуга — запази точния URL в Next.js"
"/hamalski-uslugi/","legit","512","81860","200-keep","/hamalski-uslugi/","страница услуга — запази точния URL в Next.js"
"/premestvane-na-mebeli/","legit","467","19820","200-keep","/premestvane-na-mebeli/","страница услуга — запази точния URL в Next.js"
"/преместване-на-мебели/premestvane-na-tezhki-mebeli/","legit","465","5395","200-keep","/преместване-на-мебели/premestvane-na-tezhki-mebeli/","канонична статия — запази точния URL в Next.js"
"/bus-pod-naem/","legit","447","18823","200-keep","/bus-pod-naem/","страница услуга — запази точния URL в Next.js"
"/блог/kakvo-se-nosi-v-nova-kashta/","legit","413","3564","301","/преместване-на-дома/kakvo-se-nosi-v-nova-kashta/","дублиран/стар вариант на статията"
"/kashoni/","legit","396","14205","200-keep","/kashoni/","страница услуга — запази точния URL в Next.js"
"/преместване-на-дома/premestvane-na-doma-s-kotka/","legit","358","4358","200-keep","/преместване-на-дома/premestvane-na-doma-s-kotka/","канонична статия — запази точния URL в Next.js"
